,Nom,Type,Identificateur WIGOS,Latitude,Longitude,Elevation,Detail url
234,Toussiana,Land (fixed),0-854-0-100|primary,"10,8357","-4,6177",515,https://www.meteoburkina.bf/stations/235
235,Toécé,Land (fixed),0-854-0-241|primary,"11,8469","-1,2673",318,https://www.meteoburkina.bf/stations/236
236,Toéghin,Land (fixed),0-854-0-096|primary,"12,8145","-1,7247",345,https://www.meteoburkina.bf/stations/237
237,Toéni,Land (fixed),0-854-0-242|primary,"13,2064","-2,121",315,https://www.meteoburkina.bf/stations/238
238,Téma Bokin,Land (fixed),0-854-0-235|primary,"13,0072","-1,7945",339,https://www.meteoburkina.bf/stations/239
239,Vallee du Kou,Land (fixed),0-854-0-101|primary,"11,37","-4,38",303,https://www.meteoburkina.bf/stations/240
240,Wona,Land (fixed),0-854-0-243|primary,"11,9711","-3,4295",353,https://www.meteoburkina.bf/stations/241
241,Yako,Land (fixed),0-854-0-102|primary,"12,9569","-2,2662",332,https://www.meteoburkina.bf/stations/242
242,Yalgo,Land (fixed),0-854-0-244|primary,"13,5984","-0,2602",124,https://www.meteoburkina.bf/stations/243
243,Yamba,Land (fixed),0-854-0-245|primary,"12,3","0,34",305,https://www.meteoburkina.bf/stations/244
244,Zabre,Land (fixed),0-854-0-246|primary,"11,1829","0,6335",249,https://www.meteoburkina.bf/stations/245
245,Zamo,Land (fixed),0-854-0-247|primary,"12,0283","-2,7176",280,https://www.meteoburkina.bf/stations/246
246,Zeguedeguen,Land (fixed),0-854-0-248|primary,"12,9667","-0,4523",283,https://www.meteoburkina.bf/stations/247
247,Ziga-Ziniare,Land (fixed),0-854-0-249|primary,"12,4888","-1,1104",285,https://www.meteoburkina.bf/stations/248
248,Zimtenga,Land (fixed),0-854-0-250|primary,"13,4343","-1,5082",317,https://www.meteoburkina.bf/stations/249
249,Ziou,Land (fixed),0-854-0-251|primary,"11,0427","-0,7743",229,https://www.meteoburkina.bf/stations/250
250,Zogoré,Land (fixed),0-854-0-252|primary,"13,399","-2,5907",343,https://www.meteoburkina.bf/stations/251
251,Zorgho,Land (fixed),0-854-0-253|primary,"12,2407","-0,6214",309,https://www.meteoburkina.bf/stations/252
